,OBJECTID,adm_nm,adm_cd,adm_cd2,sgg,sido,sidonm,sggnm,adm_cd8,NUMPOINTS,pop,100명당 병원이용 비율
0,2221,전라북도 전주시완산구 동서학동,3501160,4511165000,45111,45,전라북도,전주시완산구,35011600,0,6311,0.0
1,2222,전라북도 전주시완산구 서서학동,3501161,4511166000,45111,45,전라북도,전주시완산구,35011610,0,8693,0.0
2,2223,전라북도 전주시완산구 중화산1동,3501162,4511167100,45111,45,전라북도,전주시완산구,35011620,5,14510,0.03445899379738111
3,2224,전라북도 전주시완산구 중화산2동,3501163,4511167200,45111,45,전라북도,전주시완산구,35011630,3,19831,0.015127830164893347
4,2225,전라북도 전주시완산구 평화1동,3501164,4511169100,45111,45,전라북도,전주시완산구,35011640,0,40955,0.0
5,2226,전라북도 전주시완산구 평화2동,3501165,4511169200,45111,45,전라북도,전주시완산구,35011650,2,13014,0.01536806516059628
6,2227,전라북도 전주시완산구 서신동,3501166,4511168000,45111,45,전라북도,전주시완산구,35011660,1,46041,0.0021719771508003738
7,2228,전라북도 전주시완산구 삼천1동,3501167,4511170100,45111,45,전라북도,전주시완산구,35011670,2,11538,0.017334026694401112
8,2229,전라북도 전주시완산구 삼천2동,3501168,4511170200,45111,45,전라북도,전주시완산구,35011680,0,13504,0.0
9,2230,전라북도 전주시완산구 삼천3동,3501169,4511170300,45111,45,전라북도,전주시완산구,35011690,0,22020,0.0
10,2231,전라북도 전주시완산구 효자1동,3501170,4511171100,45111,45,전라북도,전주시완산구,35011700,3,10777,0.02783706040642108
11,2232,전라북도 전주시완산구 효자2동,3501171,4511171200,45111,45,전라북도,전주시완산구,35011710,1,10093,0.009907856930545923
12,2233,전라북도 전주시완산구 효자3동,3501172,4511171300,45111,45,전라북도,전주시완산구,35011720,1,14751,0.006779201410073894
13,2234,전라북도 전주시완산구 효자4동,3501178,4511171400,45111,45,전라북도,전주시완산구,35011780,2,41501,0.0048191609840726735
14,2235,전라북도 전주시완산구 중앙동,3501174,4511151000,45111,45,전라북도,전주시완산구,35011740,1,7770,0.01287001287001287
15,2236,전라북도 전주시완산구 풍남동,3501175,4511153000,45111,45,전라북도,전주시완산구,35011750,0,4042,0.0
16,2237,전라북도 전주시완산구 노송동,3501176,4511160500,45111,45,전라북도,전주시완산구,35011760,1,11991,0.008339588024351597
17,2238,전라북도 전주시완산구 완산동,3501177,4511163500,45111,45,전라북도,전주시완산구,35011770,1,5444,0.01836884643644379
18,2239,전라북도 전주시덕진구 인후1동,3501254,4511354000,45113,45,전라북도,전주시덕진구,35012540,0,18327,0.0
19,2240,전라북도 전주시덕진구 인후2동,3501255,4511355000,45113,45,전라북도,전주시덕진구,35012550,0,11370,0.0
20,2241,전라북도 전주시덕진구 인후3동,3501256,4511356000,45113,45,전라북도,전주시덕진구,35012560,1,32188,0.003106747856343979
21,2242,전라북도 전주시덕진구 덕진동,3501257,4511357000,45113,45,전라북도,전주시덕진구,35012570,1,21514,0.0046481360974249325
22,2243,전라북도 전주시덕진구 금암1동,3501258,4511358000,45113,45,전라북도,전주시덕진구,35012580,0,9322,0.0
23,2244,전라북도 전주시덕진구 금암2동,3501259,4511359000,45113,45,전라북도,전주시덕진구,35012590,3,10149,0.02955956251847473
24,2245,전라북도 전주시덕진구 팔복동,3501260,4511360000,45113,45,전라북도,전주시덕진구,35012600,0,7757,0.0
25,2246,전라북도 전주시덕진구 우아1동,3501261,4511361100,45113,45,전라북도,전주시덕진구,35012610,1,12563,0.007959882193743533
26,2247,전라북도 전주시덕진구 우아2동,3501262,4511361200,45113,45,전라북도,전주시덕진구,35012620,1,14634,0.006833401667350006
27,2248,전라북도 전주시덕진구 호성동,3501263,4511362000,45113,45,전라북도,전주시덕진구,35012630,1,20016,0.004996003197442046
28,2249,전라북도 전주시덕진구 송천1동,3501265,4511364100,45113,45,전라북도,전주시덕진구,35012650,0,64004,0.0
29,2250,전라북도 전주시덕진구 송천2동,3501266,4511364200,45113,45,전라북도,전주시덕진구,35012660,1,26281,0.0038050302499904876
30,2251,전라북도 전주시덕진구 조촌동,3501267,4511365000,45113,45,전라북도,전주시덕진구,35012670,0,12732,0.0
31,2252,전라북도 전주시덕진구 여의동,3501271,4511366500,45113,45,전라북도,전주시덕진구,35012710,0,30837,0.0
32,2253,전라북도 전주시덕진구 진북동,3501269,4511352500,45113,45,전라북도,전주시덕진구,35012690,0,37259,0.0
33,3458,전라북도 전주시완산구 효자5동,3501179,4511173000,45111,45,전라북도,전주시완산구,35011790,6,14149,0.042405823733126013
34,3459,전라북도 전주시덕진구 혁신동,3501270,4511367000,45113,45,전라북도,전주시덕진구,35012700,0,20280,0.0
