OBJECTID,adm_nm,adm_cd,adm_cd2,sgg,sido,sidonm,sggnm,adm_cd8,NUMPOINTS
"2221",전라북도 전주시완산구 동서학동,"3501160","4511165000","45111","45",전라북도,전주시완산구,"35011600",0
"2222",전라북도 전주시완산구 서서학동,"3501161","4511166000","45111","45",전라북도,전주시완산구,"35011610",0
"2223",전라북도 전주시완산구 중화산1동,"3501162","4511167100","45111","45",전라북도,전주시완산구,"35011620",5
"2224",전라북도 전주시완산구 중화산2동,"3501163","4511167200","45111","45",전라북도,전주시완산구,"35011630",3
"2225",전라북도 전주시완산구 평화1동,"3501164","4511169100","45111","45",전라북도,전주시완산구,"35011640",0
"2226",전라북도 전주시완산구 평화2동,"3501165","4511169200","45111","45",전라북도,전주시완산구,"35011650",2
"2227",전라북도 전주시완산구 서신동,"3501166","4511168000","45111","45",전라북도,전주시완산구,"35011660",1
"2228",전라북도 전주시완산구 삼천1동,"3501167","4511170100","45111","45",전라북도,전주시완산구,"35011670",2
"2229",전라북도 전주시완산구 삼천2동,"3501168","4511170200","45111","45",전라북도,전주시완산구,"35011680",0
"2230",전라북도 전주시완산구 삼천3동,"3501169","4511170300","45111","45",전라북도,전주시완산구,"35011690",0
"2231",전라북도 전주시완산구 효자1동,"3501170","4511171100","45111","45",전라북도,전주시완산구,"35011700",3
"2232",전라북도 전주시완산구 효자2동,"3501171","4511171200","45111","45",전라북도,전주시완산구,"35011710",1
"2233",전라북도 전주시완산구 효자3동,"3501172","4511171300","45111","45",전라북도,전주시완산구,"35011720",1
"2234",전라북도 전주시완산구 효자4동,"3501178","4511171400","45111","45",전라북도,전주시완산구,"35011780",2
"2235",전라북도 전주시완산구 중앙동,"3501174","4511151000","45111","45",전라북도,전주시완산구,"35011740",1
"2236",전라북도 전주시완산구 풍남동,"3501175","4511153000","45111","45",전라북도,전주시완산구,"35011750",0
"2237",전라북도 전주시완산구 노송동,"3501176","4511160500","45111","45",전라북도,전주시완산구,"35011760",1
"2238",전라북도 전주시완산구 완산동,"3501177","4511163500","45111","45",전라북도,전주시완산구,"35011770",1
"2239",전라북도 전주시덕진구 인후1동,"3501254","4511354000","45113","45",전라북도,전주시덕진구,"35012540",0
"2240",전라북도 전주시덕진구 인후2동,"3501255","4511355000","45113","45",전라북도,전주시덕진구,"35012550",0
"2241",전라북도 전주시덕진구 인후3동,"3501256","4511356000","45113","45",전라북도,전주시덕진구,"35012560",1
"2242",전라북도 전주시덕진구 덕진동,"3501257","4511357000","45113","45",전라북도,전주시덕진구,"35012570",1
"2243",전라북도 전주시덕진구 금암1동,"3501258","4511358000","45113","45",전라북도,전주시덕진구,"35012580",0
"2244",전라북도 전주시덕진구 금암2동,"3501259","4511359000","45113","45",전라북도,전주시덕진구,"35012590",3
"2245",전라북도 전주시덕진구 팔복동,"3501260","4511360000","45113","45",전라북도,전주시덕진구,"35012600",0
"2246",전라북도 전주시덕진구 우아1동,"3501261","4511361100","45113","45",전라북도,전주시덕진구,"35012610",1
"2247",전라북도 전주시덕진구 우아2동,"3501262","4511361200","45113","45",전라북도,전주시덕진구,"35012620",1
"2248",전라북도 전주시덕진구 호성동,"3501263","4511362000","45113","45",전라북도,전주시덕진구,"35012630",1
"2249",전라북도 전주시덕진구 송천1동,"3501265","4511364100","45113","45",전라북도,전주시덕진구,"35012650",0
"2250",전라북도 전주시덕진구 송천2동,"3501266","4511364200","45113","45",전라북도,전주시덕진구,"35012660",1
"2251",전라북도 전주시덕진구 조촌동,"3501267","4511365000","45113","45",전라북도,전주시덕진구,"35012670",0
"2252",전라북도 전주시덕진구 여의동,"3501271","4511366500","45113","45",전라북도,전주시덕진구,"35012710",0
"2253",전라북도 전주시덕진구 진북동,"3501269","4511352500","45113","45",전라북도,전주시덕진구,"35012690",0
"3458",전라북도 전주시완산구 효자5동,"3501179","4511173000","45111","45",전라북도,전주시완산구,"35011790",6
"3459",전라북도 전주시덕진구 혁신동,"3501270","4511367000","45113","45",전라북도,전주시덕진구,"35012700",0
